commit,date,subject,flash_used,flash_total,ram_used,ram_total,flash:Bootloader jump,flash:CMSIS,flash:CMSIS system init,flash:Gate driver / faults,flash:HAL MSP config,flash:HRTIM driver,flash:IRQ vector dispatch,flash:Newlib syscalls,flash:Other,flash:PFM table engine,flash:PFM_Input capture,"flash:Padding / unattributed (alignment, vector table, anon symbols)",flash:QUADSPI test,flash:ST HAL library,flash:Serial commands,flash:Startup/vector table,flash:Toolchain (libc/libm/startup),flash:main() / init,ram:Bootloader jump,ram:CMSIS system init,ram:Gate driver / faults,ram:HRTIM driver,ram:Newlib syscalls,ram:Other,ram:PFM table engine,ram:PFM_Input capture,"ram:Padding / unattributed (alignment, vector table, anon symbols)",ram:QUADSPI test,ram:ST HAL library,ram:Serial commands,ram:Toolchain (libc/libm/startup),ram:main() / init
72e5a1d6ea,2026-09-09T14:51:09-05:00,Initial commit: reseeded from WHAM-PFMG474-V4 at de83324,51316,524288,55368,131072,216,458,64,136,248,3136,726,396,,1033,3232,1728,448,28052,3644,60,7049,690,4,4,1,252,4,,40833,6562,1560,76,12,5465,447,148
6cb03f50db,2026-09-09T15:20:15-05:00,Implement closed-loop PID; fix a real anti-windup deadlock bug,64140,524288,65912,131072,216,458,64,136,248,2418,726,396,1236,811,3948,1272,448,28052,4412,60,18545,694,4,4,1,252,4,129,50836,6610,1560,76,12,5465,811,148
5467d36752,2026-09-10T09:39:20-05:00,Add waveform logging (PID:LOG) and a linear setpoint ramp (PID:RAMP),66156,524288,77984,131072,216,458,64,136,248,2418,726,396,2231,811,3948,1549,448,28052,5156,60,18545,694,4,4,1,252,4,12202,50836,6610,1559,76,12,5465,811,148
baa93be705,2026-09-10T10:47:58-05:00,Add windowed-average feedback + production shot profile + open/closed-loop mode,68740,524288,78080,131072,216,458,64,136,248,2418,726,396,3487,811,4104,1957,448,28052,5920,60,18545,694,4,4,1,252,4,12251,50836,6658,1558,76,12,5465,811,148
d9ac49638a,2026-09-10T11:06:39-05:00,Fix waveform-log timebase bug; re-tune gains; verify shot profile on real hardware,68588,524288,78080,131072,216,458,64,136,248,2418,726,396,3331,811,4104,1961,448,28052,5920,60,18545,694,4,4,1,252,4,12251,50836,6658,1558,76,12,5465,811,148
807cf0d6cc,2026-09-10T11:28:10-05:00,"Add hard per-tick output slew-rate clamp, configurable in ctrlr_config.h",68860,524288,78080,131072,216,458,64,136,248,2418,726,396,3603,811,4104,1961,448,28052,5920,60,18545,694,4,4,1,252,4,12251,50836,6658,1558,76,12,5465,811,148
ccb9d47c2d,2026-09-10T12:08:08-05:00,Add PID:GAINS?/LOOPMODE?/PROFILE:TIMING?/PROFILE:CURRENT? query commands,75152,524288,78080,131072,216,458,64,136,248,2418,726,396,3971,811,4104,2369,448,28052,6632,60,23349,694,4,4,1,252,4,12251,50836,6658,1558,76,12,5465,811,148
7e3e8a89f2,2026-09-10T14:10:25-05:00,Add simultaneous all-channel waveform logging (PID_ArmLogAll),75936,524288,114080,131072,216,458,64,136,248,2418,726,396,4343,811,4104,2557,448,28052,6856,60,23349,694,4,4,1,252,4,48252,50836,6658,1557,76,12,5465,811,148
2dcb22a2f6,2026-09-11T08:51:12-05:00,Per-channel Transrex full-range current -- MUST BE CALIBRATED BEFORE DEPLOYMENT,75984,524288,114080,131072,216,458,64,136,248,2418,726,396,4391,811,4104,2557,448,28052,6856,60,23349,694,4,4,1,252,4,48252,50836,6658,1557,76,12,5465,811,148
8fc9115538,2026-09-11T12:17:52-05:00,Fix: GateDriverStatus fault left no way to resume PID without a reboot,75992,524288,114080,131072,216,458,64,136,248,2418,726,396,4399,811,4104,2557,448,28052,6856,60,23349,694,4,4,1,252,4,48252,50836,6658,1557,76,12,5465,811,148
35d4975c58,2026-09-11T12:36:34-05:00,Add PID:CHANnel:ENAble -- per-channel output enable/disable,76848,524288,114080,131072,216,458,64,136,248,2562,726,396,4619,811,4104,2701,448,28052,7204,60,23349,694,4,4,1,252,4,48252,50836,6658,1557,76,12,5465,811,148
8c74e9da28-dirty,2026-09-11T12:43:38-05:00,Track which git commit is running: *IDN? now reports FW_GIT_COMMIT,76880,524288,114080,131072,216,458,64,136,248,2562,726,396,4619,811,4104,2717,448,28052,7220,60,23349,694,4,4,1,252,4,48252,50836,6658,1557,76,12,5465,811,148
