Pin Number,Pin Name,Function/Connection (V3),Function/Connection (V4),Peripheral,Secondary Peripheral,Reference Page,Reference Document
1,PE2,GateDriverStatus_03,GateDriverStatus_03,GPI,,,
2,PE3,GateDriverStatus_04,GateDriverStatus_04,GPI,,,
3,PE4,GateDriverStatus_05,GateDriverStatus_05,GPI,,,
4,PE5,GateDriverStatus_06,GateDriverStatus_06,GPI,,,
5,PE6,GateDriverStatus_07,GateDriverStatus_07,GPI,,,STMDS12288 Rev 6
6,VBAT,3V3,3V3,N/A,N/A,p57,STMDS12288 Rev 6
7,PC13,GPOut_Enable_Pin,GPOut_Enable_Pin,GPO,,,
8,PC14,STM_Enable_Pin,STM_Enable_Pin,GPO,,,
9,PC15,PWM_Alt_Enable,PWM_Alt_Enable,GPO,,,
10,PF3,GPInput_02,NC,,,,
11,PF4,GPInput_03,GPInput_03,GPI,,,
12,VSS,GND,GND,N/A,N/A,p58,STMDS12288 Rev 6
13,VDD,3V3,3V3,N/A,N/A,p58,STMDS12288 Rev 6
14,PF5,GPInput_04,GPInput_04,GPI,,,
15,PF7,GPInput_06,NC,,,,
16,PF8,GPInput_07,GPInput_07,GPI,,,
17,PF9,GPInput_08,GPInput_08,GPI,,,
18,PF10,GPInput_09,NC,,,,
19,PF0,HSE_IN,HSE_IN,N/A,N/A,p58,STMDS12288 Rev 6
20,PF1,HSE_OUT,HSE_OUT,N/A,N/A,p58,STMDS12288 Rev 6
21,PG10,NRST,NRST,N/A,N/A,p58,STMDS12288 Rev 6
22,PC0,AnalogIn_03,AnalogIn_03,ADC1_IN6,COMP3_INM,p59,STMDS12288 Rev 6
23,PC1,No connection,AnalogIn_05,ADC1_IN7,COMP3_INP,p59,STMDS12288 Rev 6
24,PC2,No connection,NC,,,,
25,PC3,No connection,NC,,,,
26,PF2,GPInput_01,NC,,,,
27,PA0,AnalogIn_01,AnalogIn_01,ADC1_IN1,COMP1_INM,p59,STMDS12288 Rev 6
28,PA1,AnalogIn_02,AnalogIn_02,ADC1_IN2,COMP1_INP,p59,STMDS12288 Rev 6
29,PA2,USART2_TX,USART2_TX,USART2_TX,,,STMDS12288 Rev 6
30,GND,GND,GND,N/A,N/A,p60,
31,VDD,3V3,3V3,N/A,N/A,p60,
32,PA3,USART2_RX,USART2_RX,USART2_RX,,,STMDS12288 Rev 6
33,PA4,No connection,AnalogOut_01,DAC1_OUT1,ADC2_IN17,p60,STMDS12288 Rev 6
34,PA5,No connection,AnalogOut_02,DAC1_OUT2,ADC2_IN13,p60,STMDS12288 Rev 6
35,PA6,No connection,NC,,,,
36,PA7,No connection,NC,,,,
37,PC4,USART1_TX,USART1_TX,USART1_TX,,p60,STMDS12288 Rev 6
38,PC5,USART1_RX,USART1_RX,USART1_RX,,p61,STMDS12288 Rev 6
39,PB0,AnalogIn_04,AnalogIn_04,ADC1_IN15,COMP4_INP,p61,STMDS12288 Rev 6
40,PB1,AnalogIn_08,AnalogIn_08,ADC1_IN12,COMP1_INP,p61,STMDS12288 Rev 6
41,PB2,No connection,PFM_Input_03/GPInput_09,GPI,TIM5_CH1,p61,STMDS12288 Rev 6
42,VSSA,GND,GND,N/A,N/A,p61,STMDS12288 Rev 6
43,VREF+,No connection,VREF+ Capacitor,,,p61,STMDS12288 Rev 6
44,VREF-,No connection,VREF- Capacitor,,,p61,STMDS12288 Rev 6
45,VDDA,3.3VA,3.3VA,N/A,N/A,p61,STMDS12288 Rev 6
46,GND,GND,GND,N/A,N/A,p61,STMDS12288 Rev 6
47,VDD,3V3,3V3,N/A,N/A,p61,STMDS12288 Rev 6
48,PF11,GPInput_10,NC,,,,
49,PF12,GPInput_11,GPInput_11,GPI,,,
50,PF13,GPInput_12,GPInput_12,GPI,,,
51,PF14,No connection,NC,,,,
52,PF15,Fiber_Enable,Fiber_Enable,GPI,,,
53,PE7,GateDriverStatus_08,GateDriverStatus_08,GPI,,,
54,PE8,GateDriverStatus_09,GateDriverStatus_09,GPI,,,
55,PE9,GateDriverStatus_10,GateDriverStatus_10,GPI,,,
56,PE10,GateDriverStatus_11,GateDriverStatus_11,GPI,,,
57,PE11,GateDriverStatus_12,GateDriverStatus_12,GPI,,,
58,PE12,No connection,QUADSPI_BK1_IO0,QUADSPI_BK1_IO0,N/A,p62,STMDS12288 Rev 6
59,PE13,No connection,QUADSPI_BK1_IO1,QUADSPI_BK1_IO1,N/A,p62,STMDS12288 Rev 6
60,PE14,No connection,QUADSPI_BK1_IO2,QUADSPI_BK1_IO2,N/A,p62,STMDS12288 Rev 6
61,PE15,No connection,QUADSPI_BK1_IO3,QUADSPI_BK1_IO3,N/A,p63,STMDS12288 Rev 6
62,PB10,HR_FAULT_INPUT_PIN,QUADSPI_CLK,QUADSPI_CLK,N/A,p63,STMDS12288 Rev 6
63,GND,GND,GND,N/A,N/A,p63,STMDS12288 Rev 6
64,VDD,3V3,3V3,N/A,N/A,p63,STMDS12288 Rev 6
65,PB11,AnalogIn_05,QUADSPI_BK1_NCS,QUADSPI_BK1_NCS,N/A,p63,STMDS12288 Rev 6
66,PB12,PHASE_W_PIN,PHASE_W_PIN,HRTIM1_CHC1,,p63,STMDS12288 Rev 6
67,PB13,PHASE_WN_PIN,PHASE_WN_PIN,HRTIM1_CHC2,,p63,STMDS12288 Rev 6
68,PB14,AnalogIn_06,PHASE_X_PIN,HRTIM1_CHD1,,p63,STMDS12288 Rev 6
69,PB15,AnalogIn_07,PHASE_XN_PIN,HRTIM1_CHD2,,p64,STMDS12288 Rev 6
70,PD8,GPOut_09,USART3_TX,USART3_TX,,p64,STMDS12288 Rev 6
71,PD9,GPOut_10,USART3_RX,USART3_RX,,p64,STMDS12288 Rev 6
72,PD10,GPOut_11,NC,,,,
73,PD11,GPOut_12,NC,,,,
74,PD12,No connection,PFM_Input_06/GPInput_10,GPI,TIM4_CH1,p64,STMDS12288 Rev 6
75,PD13,No connection,NC,,,,
76,PD14,No connection,NC,,,,
77,PD15,No connection,NC,,,,
78,GND,GND,GND,N/A,N/A,p64,STMDS12288 Rev 6
79,VDD,3V3,3V3,N/A,N/A,p64,STMDS12288 Rev 6
80,PC6,No connection,PHASE_Z_PIN,HRTIM1_CHF1,,p64,STMDS12288 Rev 6
81,PC7,No connection,PHASE_ZN_PIN,HRTIM1_CHF2,,p65,STMDS12288 Rev 6
82,PG0,No connection,GPOut_01,GPO,,,
83,PG1,U_Alt_Pin,GPOut_02,GPO,,,
84,PG2,UN_Alt_Pin,GPOut_03,GPO,,,
85,PG3,V_Alt_Pin,GPOut_04,GPO,,,
86,PG4,VN_Alt_Pin,GPOut_05,GPO,,,
87,PC8,W_Alt_Pin,PHASE_Y_PIN,HRTIM1_CHE1,,p65,STMDS12288 Rev 6
88,PC9,WN_Alt_Pin,PHASE_YN_PIN,HRTIM1_CHE2,,p65,STMDS12288 Rev 6
89,PA8,PHASE_U_PIN,PHASE_U_PIN,HRTIM1_CHA1,,p66,STMDS12288 Rev 6
90,PA9,PHASE_UN_PIN,PHASE_UN_PIN,HRTIM1_CHA2,,p66,STMDS12288 Rev 6
91,PA10,PHASE_V_PIN,PHASE_V_PIN,HRTIM1_CHB1,,p66,STMDS12288 Rev 6
92,PA11,PHASE_VN_PIN,PHASE_VN_PIN,HRTIM1_CHB2,,p66,STMDS12288 Rev 6
93,PA12,No connection,NC,,,,
94,GND,GND,GND,N/A,N/A,p67,STMDS12288 Rev 6
95,VDD,VDD,VDD,N/A,N/A,p67,STMDS12288 Rev 6
96,PA13,SWDIO,SWDIO,N/A,N/A,p67,STMDS12288 Rev 6
97,PF6,GPINPUT_05,NC,,,,
98,PA14,swclk,SWCLK,N/A,N/A,p67,STMDS12288 Rev 6
99,PA15,No connection,PFM_Input_01/GPInput_01,GPI,TIM2_CH1,p67,STMDS12288 Rev 6
100,PC10,USART3_TX,HR_FAULT_INPUT_PIN,HRTIM1_FLT6,,p68,STMDS12288 Rev 6
101,PC11,USART3_RX,NC,,,,
102,PC12,No connection,PFM_Input_04/GPInput_02,GPI,TIM5_CH2,p68,STMDS12288 Rev 6
103,PG5,No connection,GPOut_06,GPO,,,
104,PG6,No connection,GPOut_07,GPO,,,
105,PG7,No connection,GPOut_08,GPO,,,
106,PG8,No connection,GPOut_09,GPO,,,
107,PG9,No connection,GPOut_10,GPO,,,
108,PD0,GPOut_01,GPOut_11,GPO,,,
109,PD1,GPOut_02,GPOut_12,GPO,,,
110,GND,GND,GND,N/A,N/A,p69,STMDS12288 Rev 6
111,VDD,3V3,3V3,N/A,N/A,p69,STMDS12288 Rev 6
112,PD2,GPOut_03,NC,,,,
113,PD3,GPOut_04,NC,,,,
114,PD4,GPOut_05,PFM_Input_02/GPInput_05,GPI,TIM2_CH2,p69,STMDS12288 Rev 6
115,PD5,GPOut_06,NC,,,,
116,PD6,GPOut_07,NC,,,,
117,PD7,GPOut_08,NC,,,,
118,PB3,SWO,SWO,N/A,N/A,p70,STMDS12288 Rev 6
119,PB4,No connection,PFM_Input_05/GPInput_06,GPI,TIM3_CH1,p70,STMDS12288 Rev 6
120,PB5,No connection,FDCAN2_RX,GPI,FDCAN2_RX,p70,STMDS12288 Rev 6
121,PB6,No connection,FDCAN2_TX,GPO,FDCAN2_TX,p71,STMDS12288 Rev 6
122,PB7,No connection,NC,,,,
123,PB8,BOOT0,BOOT0,N/A,N/A,p71,STMDS12288 Rev 6
124,PB9,No connection,NC,,,,
125,PE0,GateDriverStatus_01,GateDriverStatus_01,GPI,,,
126,PE1,GateDriverStatus_02,GateDriverStatus_02,GPI,,,
127,GND,GND,GND,N/A,N/A,p72,STMDS12288 Rev 6
128,VDD,3V3,3V3,N/A,N/A,p72,STMDS12288 Rev 6
